"","size","flow","sizeNext","age","ageNext","surv","fec"
"1",42,1,NA,5,NA,0,1
"2",NA,NA,1,NA,1,NA,NA
"3",16,NA,43,5,6,1,0
"4",NA,NA,1,NA,1,NA,NA
"5",NA,NA,1,NA,1,NA,NA
"6",NA,NA,1,NA,1,NA,NA
"7",NA,NA,1,NA,1,NA,NA
"8",NA,NA,2,NA,1,NA,NA
"9",12,1,23,5,6,1,1
"10",41,NA,71,4,5,1,0
"11",NA,NA,1,NA,1,NA,NA
"12",NA,NA,1,NA,1,NA,NA
"13",NA,NA,1,NA,1,NA,NA
"14",18,NA,50,999,999,1,0
"15",NA,NA,2,NA,1,NA,NA
"16",6,NA,18,1,2,1,0
"17",NA,NA,1,NA,1,NA,NA
"18",NA,NA,1,NA,1,NA,NA
"19",1,NA,NA,1,NA,0,0
"20",58,NA,100,7,8,1,0
"21",17,NA,NA,5,NA,0,0
"22",NA,NA,3,NA,1,NA,NA
"23",32,NA,61,3,4,1,0
"24",3,NA,NA,1,NA,0,0
"25",7,NA,14,5,6,1,0
"26",58,1,30,999,999,1,1
"27",NA,NA,1,NA,1,NA,NA
"28",23,NA,25,5,6,1,0
"29",NA,NA,6,NA,1,NA,NA
"30",21,NA,16,999,999,1,0
"31",17,2,9,999,999,1,1
"32",14,NA,18,999,999,1,0
"33",13,1,NA,3,NA,0,1
"34",9,NA,NA,1,NA,0,0
"35",11,NA,15,7,8,1,0
"36",75,NA,61,999,999,1,0
"37",22,NA,15,5,6,1,0
"38",12,NA,23,5,6,1,0
"39",11,NA,17,5,6,1,0
"40",0,NA,10,5,6,1,0
"41",11,NA,36,5,6,1,0
"42",7,NA,NA,6,NA,0,0
"43",5,NA,15,7,8,1,0
"44",18,NA,56,7,8,1,0
"45",20,NA,62,999,999,1,0
"46",36,NA,41,999,999,1,0
"47",3,NA,NA,1,NA,0,0
"48",25,NA,32,999,999,1,0
"49",30,NA,4,4,5,1,0
"50",16,NA,11,999,999,1,0
"51",12,NA,NA,7,NA,0,0
"52",NA,NA,4,NA,1,NA,NA
"53",45,NA,47,999,999,1,0
"54",6,NA,8,3,4,1,0
"55",18,NA,16,999,999,1,0
"56",7,NA,6,7,8,1,0
"57",6,NA,NA,4,NA,0,0
"58",9,NA,NA,4,NA,0,0
"59",18,NA,17,999,999,1,0
"60",8,NA,13,3,4,1,0
"61",23,NA,32,999,999,1,0
"62",3,NA,NA,1,NA,0,0
"63",3,1,NA,1,NA,0,1
"64",3,NA,NA,1,NA,0,0
"65",23,2,42,7,8,1,1
"66",17,NA,45,7,8,1,0
"67",11,NA,40,4,5,1,0
"68",24,NA,33,4,5,1,0
"69",24,NA,25,5,6,1,0
"70",21,NA,0,5,6,1,0
"71",9,NA,14,7,8,1,0
"72",7,3,14,4,5,1,1
"73",16,NA,13,5,6,1,0
"74",10,NA,10,3,4,1,0
"75",5,NA,12,1,2,1,0
"76",13,NA,10,3,4,1,0
"77",20,NA,13,999,999,1,0
"78",28,NA,18,999,999,1,0
"79",NA,NA,2,NA,1,NA,NA
