"","size","flow","sizeNext","age","ageNext","surv","fec"
"1",1,NA,7,1,2,1,0
"2",NA,NA,2,NA,1,NA,NA
"3",7,2,2,9,10,1,1
"4",33,10,42,9,10,1,1
"5",NA,NA,1,NA,1,NA,NA
"6",2,NA,NA,3,NA,0,0
"7",9,1,11,4,5,1,1
"8",1,NA,NA,1,NA,0,0
"9",1,NA,NA,1,NA,0,0
"10",1,NA,NA,4,NA,0,0
"11",NA,NA,3,NA,1,NA,NA
"12",1,NA,NA,1,NA,0,0
"13",2,NA,NA,1,NA,0,0
"14",6,1,NA,9,NA,0,1
"15",1,NA,NA,1,NA,0,0
"16",1,NA,NA,1,NA,0,0
"17",1,NA,NA,1,NA,0,0
"18",1,NA,2,1,2,1,0
"19",NA,NA,6,NA,1,NA,NA
"20",1,NA,NA,1,NA,0,0
"21",NA,NA,1,NA,1,NA,NA
"22",1,NA,3,1,2,1,0
"23",1,NA,NA,1,NA,0,0
"24",1,NA,NA,1,NA,0,0
"25",1,NA,NA,1,NA,0,0
"26",1,NA,3,1,2,1,0
"27",1,NA,NA,1,NA,0,0
"28",1,NA,6,1,2,1,0
"29",1,NA,NA,1,NA,0,0
"30",4,NA,6,7,8,1,0
"31",4,1,5,999,999,1,1
"32",NA,NA,4,NA,1,NA,NA
"33",3,NA,4,1,2,1,0
"34",2,NA,3,7,8,1,0
"35",1,NA,8,1,2,1,0
"36",NA,NA,1,NA,1,NA,NA
"37",1,NA,NA,1,NA,0,0
"38",1,NA,NA,1,NA,0,0
"39",1,NA,1,1,2,1,0
"40",1,NA,NA,1,NA,0,0
"41",1,NA,NA,1,NA,0,0
"42",1,NA,NA,1,NA,0,0
"43",3,NA,NA,7,NA,0,0
"44",1,NA,NA,1,NA,0,0
"45",NA,NA,1,NA,1,NA,NA
"46",1,NA,NA,1,NA,0,0
"47",1,NA,NA,1,NA,0,0
"48",1,NA,2,1,2,1,0
"49",11,2,14,2,3,1,1
"50",NA,NA,5,NA,1,NA,NA
"51",2,NA,5,1,2,1,0
